=== CREDENTIALS ENENI (MIS À JOUR) ===
Mot de passe unique pour tous : pass1234

Total établissements : 75
Total utilisateurs dans la DB : 15329
  → Issus du seed : 9750
  → Supplémentaires : 5579

Légende : ✓ = présent dans seed | ✗ = pas dans le seed
================================================================================

================================================================================
ENSEIGNANTS
================================================================================

================================================================================
ÉTUDIANTS
================================================================================

================================================================================
ADMINISTRATEURS
================================================================================
[✓] [✓] 1ère A | Fara | user: etu.11.1028.9097 | mdp: pass1234 | num: EN009097
[✓] [✓] 1ère A | Feno | user: etu.11.1028.9100 | mdp: pass1234 | num: EN009100
[✓] [✓] 1ère A | Haja | user: etu.10.1019.9006 | mdp: pass1234 | num: EN009006
[✓] [✓] 1ère A | Herimalala | user: etu.10.1019.9004 | mdp: pass1234 | num: EN009004
[✓] [✓] 1ère A | Herimalala | user: etu.10.1019.9005 | mdp: pass1234 | num: EN009005
[✓] [✓] 1ère A | Maminirina | user: etu.10.1019.9001 | mdp: pass1234 | num: EN009001
[✓] [✓] 1ère A | Manda | user: etu.10.1019.9003 | mdp: pass1234 | num: EN009003
[✓] [✓] 1ère A | Manda | user: etu.11.1028.9096 | mdp: pass1234 | num: EN009096
[✓] [✓] 1ère A | Manoa | user: etu.10.1019.9009 | mdp: pass1234 | num: EN009009
[✓] [✓] 1ère A | Miangaly | user: etu.11.1028.9091 | mdp: pass1234 | num: EN009091
[✓] [✓] 1ère A | Miora | user: etu.10.1019.9007 | mdp: pass1234 | num: EN009007
[✓] [✓] 1ère A | Nandrianina | user: etu.11.1028.9093 | mdp: pass1234 | num: EN009093
[✓] [✓] 1ère A | Noro | user: etu.11.1028.9094 | mdp: pass1234 | num: EN009094
[✓] [✓] 1ère A | Randria | user: etu.11.1028.9092 | mdp: pass1234 | num: EN009092
[✓] [✓] 1ère A | Rija | user: etu.11.1028.9098 | mdp: pass1234 | num: EN009098
[✓] [✓] 1ère A | Sarobidy | user: etu.11.1028.9099 | mdp: pass1234 | num: EN009099
[✓] [✓] 1ère A | Tahina | user: etu.10.1019.9008 | mdp: pass1234 | num: EN009008
[✓] [✓] 1ère A | Toky | user: etu.10.1019.9002 | mdp: pass1234 | num: EN009002
[✓] [✓] 1ère A | Toky | user: etu.10.1019.9010 | mdp: pass1234 | num: EN009010
[✓] [✓] 1ère A | Voahangy | user: etu.11.1028.9095 | mdp: pass1234 | num: EN009095
[✗] [✗] 1ère A | Fandresena | user: etu.13.266.736 | mdp: pass1234 | num: EN000736
[✗] [✗] 1ère A | Fandresena | user: etu.16.194.379 | mdp: pass1234 | num: EN000379
[✗] [✗] 1ère A | Fandresena | user: etu.17.212.469 | mdp: pass1234 | num: EN000469
[✗] [✗] 1ère A | Fandresena | user: etu.18.257.692 | mdp: pass1234 | num: EN000692
[✗] [✗] 1ère A | Fandresena | user: etu.20.248.650 | mdp: pass1234 | num: EN000650
[✗] [✗] 1ère A | Fandresena | user: etu.22.122.17 | mdp: pass1234 | num: EN000017
[✗] [✗] 1ère A | Faniry | user: etu.15.149.154 | mdp: pass1234 | num: EN000154
[✗] [✗] 1ère A | Faniry | user: etu.18.257.693 | mdp: pass1234 | num: EN000693
[✗] [✗] 1ère A | Faniry | user: etu.19.221.511 | mdp: pass1234 | num: EN000511
[✗] [✗] 1ère A | Faniry | user: etu.20.248.649 | mdp: pass1234 | num: EN000649
